Post,Date,Artist,Song Name,Korean Name,Director,Video,Type,Release
,7/13/2020,EXO-SC,1 Billion Views feat. MOON,,,Youtube,Boy,Major
Post,7/13/2020,GFRIEND,Apple,애플,LUMPENS,Youtube,Girl,Major
,7/13/2020,XRO,Chuckle,껄렁,,Youtube,Boy,Major
,7/12/2020,GAVY NJ,X-Girlfriend,전 여친,,Youtube,Girl,Major
,7/10/2020,BIBI,I'm Good at Goodbyes,안녕히,,Youtube,Girl Solo,Major
,7/10/2020,Pierce,Winner,위너,,Youtube,Girl,Major
,7/9/2020,Huh Chanmi,I'm fine thanks,,,Youtube,Girl Solo,Special
,7/9/2020,EXO-SC,On Me (Sehun Solo),,,Youtube,Boy,Minor
,7/9/2020,Solji (EXID),Rains Again,오늘따라 비가 와서 그런가 봐,,Youtube,Girl Solo,Major
,7/8/2020,EXO-SC,Nothin (Chanyeol Solo),,,Youtube,Boy,Minor
,7/7/2020,Great Guys,Run,내 심장은 널 향해 뛰어,,Youtube,Boy,Major
,7/7/2020,EXO-SC,Telephone feat. 10CM,,,Youtube,Boy,Minor
,7/7/2020,(G)I-DLE,I'm The Trend,,,Youtube,Girl,Special
,7/6/2020,DONGKIZ I:KAN,Y.O.U,,,Youtube,Boy,Major
Post,7/6/2020,Red Velvet - IRENE SEULGI,Monster,,,Youtube,Girl,Major
,7/6/2020,F.Cuz,Shine,,,Youtube,Boy,Major
,7/6/2020,Zico,Cartoon,만화영화,,Youtube,Boy Solo,Major
,7/6/2020,Chungha,Play feat. Changmo,,,Youtube,Girl Solo,Major
,7/5/2020,eaJ,Pacman,,,Youtube,Boy Solo,Major
,7/4/2020,Great Guys,In Summer,,,Youtube,Boy,Major
,7/1/2020,Zico,Summer Hate feat. Rain,,,Youtube,Boy Solo,Major
,7/1/2020,Verivery,Thunder,,,Youtube,Boy,Major
,6/30/2020,Lee Jinhyuk,Bedlam,난장판,,Youtube,Boy Solo,Major
,6/29/2020,AB6IX,The Answer,답을 줘,,Youtube,Boy,Major
Post,6/29/2020,Weeekly,Tag Me (@Me),태그미,,Youtube,Girl,Major
Post,6/29/2020,Pentagon,Basquiat (Performance Video),바스키아,,Youtube,Boy,Special
,6/29/2020,3YE,Yessir,,,Youtube,Girl,Major
,6/29/2020,Sunmi,pporappippam,보라빛 밤,,Youtube,Girl Solo,Major
,6/29/2020,Hwasa,Maria,마리아,,Youtube,Girl Solo,Major
,6/29/2020,WOODZ,Love Me Harder,,,Youtube,Boy Solo,Major
,6/28/2020,Stray Kids,Blueprint,청사진,,Youtube,Boy,Minor
,6/28/2020,N.Flying,Flower Fantasy,,,Youtube,Boy,Minor
