name,id,artists,genres,explicit,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Apple,3jg1u32Pn1c2M5r6SAQBCC,['GFRIEND'],"{'k-pop girl group', 'k-pop'}",False,2020-07-13,72,0.641,0.932,9,-4.877,1,0.156,0.0156,0.0,0.117,0.253,119.965,207252
I'm good at goodbyes,71dXEYXl5IwX9EkHrrKj07,['BIBI'],"{'korean r&b', 'k-pop'}",False,2020-07-10,52,0.663,0.517,3,-6.904,0,0.0987,0.399,2.32e-05,0.109,0.344,90.07,204187
i'M THE TREND,5Fkkhd5Sy1dCBkKdXLQl4U,['(G)I-DLE'],"{'k-pop girl group', 'k-pop'}",False,2020-07-07,68,0.772,0.794,11,-2.908,0,0.073,0.138,5.91e-06,0.058,0.759,145.102,205013
PLAY,1SdLedoEjrMRu5AnvK2EYk,"['CHUNG HA', 'CHANGMO']","{'korean pop', 'k-rap', 'korean r&b', 'k-pop'}",False,2020-07-06,75,0.641,0.945,6,-0.535,1,0.0882,0.18,2.94e-05,0.172,0.883,103.931,199524
Summer Hate (Feat. Rain),0t3Jr6FABrKYLxGgdbco3f,"['ZICO', 'Rain']","{'korean pop', 'korean r&b', 'k-pop'}",False,2020-07-01,70,0.792,0.743,1,-3.817,1,0.0801,0.026,0.0,0.0631,0.835,136.993,184627
THE ANSWER,1L1N5X35wFk8d5VlyNy2Oa,['AB6IX'],"{'k-pop boy group', 'k-pop'}",False,2020-06-29,66,0.78,0.75,7,-4.428,0,0.0712,0.121,0.0,0.0736,0.902,143.072,190832
pporappippam 보라빛 밤,7oQh96s9YemWG3A4zkIbrU,['SUNMI'],{'k-pop'},False,2020-06-29,76,0.714,0.828,1,-4.68,0,0.0428,0.0513,0.0652,0.0347,0.318,120.014,206617
Maria,0ZeGfEAL5Rl4pd5LZBGuEK,['Hwa Sa'],{'k-pop'},False,2020-06-29,84,0.658,0.749,9,-2.967,0,0.0634,0.238,2.03e-06,0.272,0.442,128.909,199027
Blueprint,560TR1d15nGMXufjbt5tys,['Stray Kids'],"{'k-pop boy group', 'k-pop'}",False,2020-06-17,64,0.744,0.77,7,-4.54,1,0.0599,0.0591,0.0,0.287,0.606,109.977,251300
FLOWER FANTASY,6RPT3e0Lxz36yPFQPTFMUJ,['N.Flying'],"{'k-pop boy group', 'k-rock', 'k-pop'}",False,2020-06-10,47,0.4,0.725,8,-2.829,0,0.0491,0.228,0.0,0.37,0.579,143.896,220440
Eternally,7HjcrlnxZ7mSZ8zfJC5fPc,['TOMORROW X TOGETHER'],{'k-pop'},False,2020-05-18,65,0.382,0.85,6,-4.736,1,0.423,0.0255,0.0,0.0912,0.414,185.924,217374
How You Like That,3vAn0qZzdyuHamcrpkfiX3,['BLACKPINK'],"{'k-pop girl group', 'k-pop'}",False,2020-06-26,89,0.828,0.782,11,-4.014,1,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,181264
Stay Gold,0UwQTbq7ZtBJ7v530mpaxP,['BTS'],"{'k-pop boy group', 'k-pop'}",False,2020-06-19,80,0.724,0.631,1,-5.403,1,0.0517,0.0873,0.0,0.0752,0.548,129.019,243733
ONE(Lucid Dream),1ZhhiI06eIjXZjXK6OXO8u,['Golden Child'],"{'k-pop boy group', 'k-pop'}",False,2020-06-23,58,0.683,0.687,5,-5.108,0,0.0603,0.113,0.0,0.19,0.729,109.879,235653
Left & Right,66orj0qtDgnU6DlmllAxbq,['SEVENTEEN'],"{'k-pop boy group', 'k-pop'}",False,2020-06-22,77,0.725,0.823,6,-3.868,0,0.115,0.132,0.0,0.104,0.958,149.994,201773
OOPSY,7wujrLH728xxtvLRejTdV8,['Weki Meki'],"{'k-pop girl group', 'k-pop'}",False,2020-06-18,62,0.742,0.916,6,-1.339,0,0.222,0.158,0.0,0.191,0.96,75.01,194920
God’s Menu,0RzT9tBLcQhofW2TNiHP9B,['Stray Kids'],"{'k-pop boy group', 'k-pop'}",False,2020-06-17,81,0.689,0.771,5,-3.618,1,0.0548,0.00776,0.0,0.521,0.482,157.052,167922
Secret Story of the Swan,3FARQP8fA49bSsTWjNyWmY,['IZ*ONE'],"{'k-pop girl group', 'k-pop'}",False,2020-06-15,74,0.703,0.941,7,-0.995,0,0.0808,0.131,0.0,0.319,0.758,102.969,192333
Greedyy (Feat. Moon Byul of MAMAMOO),6JImJ6bsdcELo7TLFoCcfi,"['Jea', 'Moon Byul']","{'j-core', 'k-pop'}",False,2020-06-12,39,0.789,0.83,11,-3.216,0,0.102,0.263,0.0,0.12,0.884,93.067,262667
Starry Night,5MaDeMdqsPsZTxNWdEZPVH,['MAMAMOO'],"{'k-pop girl group', 'k-pop'}",False,2018-03-07,67,0.58,0.773,9,-3.302,0,0.05,0.656,0.0,0.112,0.506,124.148,211237
Hug U,1PA1OE1UsauaEA5LVH6ZDh,['DIA'],"{'k-pop girl group', 'k-pop'}",False,2020-06-10,44,0.47,0.849,7,-1.784,0,0.0512,0.246,0.0,0.0863,0.553,201.818,203133
When We Were Us,2f4o2u8yAANvg3hQ8BNm4Q,['SUPER JUNIOR-K.R.Y.'],"{'k-pop boy group', 'k-pop'}",False,2020-06-08,56,0.404,0.589,11,-4.043,1,0.029,0.714,0.0,0.115,0.143,135.87,247520
Oh really.,2YzaJuoqGltZJziw7qAnFC,['N.Flying'],"{'k-pop boy group', 'k-rock', 'k-pop'}",False,2020-06-10,56,0.634,0.895,6,-2.421,1,0.0505,0.302,0.0,0.211,0.797,145.021,195560
PUMA,4XdzvdvfaAozcWM2svBri5,['TOMORROW X TOGETHER'],{'k-pop'},False,2020-05-18,67,0.684,0.793,6,-3.156,0,0.102,0.0505,0.0,0.137,0.437,104.951,205520
MORE & MORE,3omvXShuRPM3zbDpWYqf5g,['TWICE'],"{'k-pop girl group', 'k-pop'}",False,2020-06-01,81,0.739,0.841,5,-4.162,1,0.06,0.0312,0.0,0.173,0.562,106.99,199653
Absence,1wj8oNg5fN2zltrUIJGjoN,['Moon Byul'],{'k-pop'},False,2020-05-29,55,0.626,0.737,9,-3.376,0,0.0536,0.242,0.0,0.121,0.178,139.728,219400
Tiki-Taka(99%),2gLAfzOB7angHctZ0IQAtu,['Weki Meki'],"{'k-pop girl group', 'k-pop'}",False,2019-08-08,52,0.735,0.928,1,-3.482,1,0.0907,0.403,0.0,0.0844,0.755,120.049,179764
End of Spring,6iYlLt7gqJh8g8MDZR0Vmz,['ONEWE'],"{'k-pop boy group', 'k-pop'}",False,2020-05-26,53,0.613,0.926,7,-1.674,0,0.0537,0.0261,0.0,0.246,0.657,123.959,209053
yaya (ME TIME),5UnQaR9kyBaIYwgEgp4mID,['Yubin'],"{'k-pop', 'korean city pop'}",False,2020-05-21,46,0.921,0.824,0,-2.976,1,0.0718,0.122,5.33e-05,0.029,0.837,96.036,183236
Punch,0O22hXRIdbyrnMQk7VldC9,['NCT 127'],"{'k-pop boy group', 'k-pop'}",False,2020-05-19,67,0.636,0.915,1,-3.473,1,0.183,0.0353,0.0,0.0978,0.511,90.946,204000
Can't You See Me?,2qI0Uchpdc2RkzuhbRnnZ8,['TOMORROW X TOGETHER'],{'k-pop'},False,2020-05-18,74,0.59,0.818,9,-2.988,0,0.0771,0.0584,0.0,0.205,0.664,139.925,201445
woo ah,5iOAtCkFtfPZoMeMbhMIY0,['Crush'],"{'korean r&b', 'k-pop'}",False,2016-05-06,52,0.663,0.597,6,-8.101,0,0.0564,0.399,0.0,0.139,0.614,140.007,221835
Dolphin,3NfgdU9mbIVhcJF3XvC0c9,['OH MY GIRL'],"{'k-pop girl group', 'k-pop'}",False,2020-04-27,64,0.858,0.68,4,-4.531,1,0.0795,0.171,0.0,0.173,0.621,113.993,176773
didn't say anything,0GPtizf5j73g2KuHa4ZdRb,"['Baek Ji Young', 'ONG SEONG WU']","{'korean pop', 'k-pop'}",False,2020-05-12,44,0.429,0.591,7,-3.631,0,0.038,0.485,0.0,0.175,0.243,137.389,223466
I'm in Trouble,30iB3Vk6T4gAUfZ0OvmwxY,"[""NU'EST""]","{'korean pop', 'k-pop boy group', 'k-pop'}",False,2020-05-11,60,0.829,0.627,8,-4.533,0,0.0814,0.153,0.0,0.0702,0.733,100.047,184200
Leo (feat. BAEKHYUN),4F9qxQqmkFnBjIvrpiQ7jV,"['BOL4', 'BAEKHYUN']","{'korean pop', 'k-pop'}",False,2020-05-07,63,0.614,0.56,3,-4.709,1,0.0289,0.651,0.0,0.196,0.634,89.994,187987
KAZINO,245onUPHGD1DYuiacxTuW0,['BIBI'],"{'korean r&b', 'k-pop'}",False,2020-04-29,62,0.625,0.686,6,-3.715,0,0.0414,0.139,0.0,0.11,0.263,133.041,185947
Life Sucks,6wvtvChKoIGAJpE99av3AI,['HA:TFELT'],"{'korean pop', 'k-indie', 'korean r&b', 'k-pop'}",False,2020-04-23,50,0.511,0.452,4,-5.645,0,0.0613,0.0644,0.0,0.0699,0.428,155.503,193387
No Good Girl,0WVMHUv6KBMF7gopCXBql9,['MINSEO'],"{'korean pop', 'k-indie', 'k-pop'}",False,2020-04-28,38,0.724,0.608,1,-6.075,0,0.102,0.634,0.0,0.335,0.503,131.991,211373
BAZOOKA!,5UDDTTQ5cUrH3FYubQ34Y9,['GWSN'],{'k-pop'},False,2020-04-28,55,0.739,0.746,4,-6.146,0,0.0476,0.0288,0.0,0.21,0.657,129.944,195302
Stay Tonight,3As0OA5B06BxLfADvYyG8L,['CHUNG HA'],{'k-pop'},False,2020-04-27,72,0.636,0.841,2,-1.927,0,0.0548,0.199,0.000395,0.0836,0.506,121.022,217239
LALALILALA,5zMSAi7u8ltE97q4jZ1jqW,['APRIL'],"{'k-pop girl group', 'k-pop'}",False,2020-04-22,59,0.544,0.94,7,0.076,0,0.0517,0.0423,0.0,0.599,0.419,127.978,194933
NOT BY THE MOON,1pmfd0ohjfh1qXPWvjaC1o,['GOT7'],"{'k-pop boy group', 'k-pop'}",False,2020-04-20,72,0.549,0.813,5,-4.828,0,0.148,0.0556,4.44e-06,0.207,0.544,151.813,204702
YOU CAN'T HOLD MY HEART,6nxOW44RKSH3OBw6ZP8yuZ,['Monsta X'],"{'k-pop boy group', 'k-pop'}",False,2020-02-13,61,0.81,0.574,0,-5.038,1,0.0326,0.102,5.41e-06,0.08,0.422,134.001,181112
Break all the Rules,3zhb2FclGaz3NKovP79Kwk,['CRAVITY'],{'k-pop'},False,2020-04-14,59,0.618,0.86,2,-3.545,0,0.0643,0.0394,0.0,0.132,0.528,78.028,208575
